220,210,210,210,210,210,210,210,210,210,210,210,210,294,210,210,294,210,210,210,210,210,210,210,210,210,210,210,210,200
228,374,373,372,372,373,374,374,86,372,109,110,230,228,230,230,228,230,230,230,230,230,230,230,230,230,230,230,230,228
228,374,286,286,286,286,316,286,286,372,374,200,230,209,230,230,209,230,200,230,230,230,230,230,230,230,230,230,230,228
228,373,372,372,372,374,374,373,373,30,373,228,230,230,230,230,230,230,228,202,202,202,202,202,202,203,230,230,230,228
228,374,372,373,286,202,203,374,372,374,202,228,202,202,202,202,202,202,228,230,230,230,230,230,230,234,202,230,230,228
228,374,374,373,372,286,202,202,203,374,373,228,374,374,373,372,374,373,228,230,230,230,230,230,230,230,230,230,230,228
228,373,286,203,374,372,286,286,202,203,374,228,372,374,201,203,373,373,228,230,230,200,202,203,230,230,200,230,230,228
228,374,374,286,203,373,373,372,286,317,372,228,372,373,286,286,373,373,228,230,230,228,230,267,230,230,228,230,230,228
228,373,374,373,286,203,372,373,372,373,372,228,373,372,372,374,114,373,228,230,230,228,230,230,230,230,228,230,230,228
228,374,373,374,201,202,202,203,372,372,373,228,203,374,201,203,372,201,235,230,230,228,230,230,230,230,228,230,230,228
208,202,203,372,258,320,258,258,374,374,372,228,231,373,236,231,163,229,230,230,230,228,202,202,202,202,209,200,230,228
229,230,231,374,372,373,374,373,374,373,374,228,286,374,236,231,191,202,200,230,201,209,228,230,230,230,230,209,230,228
229,230,231,374,373,372,201,286,372,373,373,228,373,372,236,231,230,230,228,230,229,230,228,230,230,230,230,230,230,228
229,230,231,320,321,286,286,372,372,374,201,228,373,208,322,323,211,230,228,202,233,230,209,230,202,202,200,230,230,228
229,230,231,372,372,373,372,374,374,201,286,321,373,229,230,230,231,230,228,230,230,230,230,230,230,230,228,230,230,228
229,230,267,373,372,374,373,372,201,286,374,373,373,229,230,230,231,230,202,202,230,206,206,206,206,206,202,230,230,228
229,230,267,372,374,201,202,202,286,374,373,201,202,286,21,25,286,230,230,230,230,230,230,230,230,230,230,230,230,228
229,230,267,374,374,286,320,286,373,372,201,233,230,231,50,52,232,202,202,202,202,202,202,202,202,202,200,230,230,228
229,230,267,373,372,373,374,373,373,201,233,230,231,286,372,373,286,229,230,230,230,230,230,230,230,230,209,230,230,228
229,230,267,373,373,201,202,202,202,233,230,231,286,374,374,374,373,286,202,202,203,230,230,230,230,230,230,230,230,228
229,230,267,374,374,236,230,230,230,231,258,286,373,372,374,374,373,374,286,258,201,202,202,202,202,203,230,230,201,202
229,230,267,373,372,286,258,320,258,286,372,374,374,201,202,202,203,372,374,374,286,321,286,202,202,202,230,230,229,267
229,230,267,372,372,374,373,374,372,373,373,374,201,203,373,374,201,203,374,372,373,86,372,81,82,230,230,230,236,267
229,230,267,372,372,372,373,372,372,201,202,202,203,286,373,373,286,201,202,202,202,202,203,137,138,230,230,230,236,267
229,239,258,373,374,286,315,258,258,258,258,258,286,374,372,374,374,286,286,318,286,286,286,286,286,21,25,258,261,267
229,231,372,373,374,374,372,372,372,373,374,372,372,374,372,374,372,374,372,373,374,373,86,372,372,50,52,372,236,267
229,231,372,374,372,373,201,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,203,372,372,373,374,236,267
229,231,373,374,373,373,286,321,289,289,289,289,316,289,321,286,286,320,289,289,289,318,289,286,372,30,30,372,236,267
229,231,374,373,373,373,374,373,374,372,373,374,372,374,372,372,374,373,372,373,374,373,374,374,374,372,373,373,236,267
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
