200,210,210,210,210,294,210,210,294,210,210,210,210,210,210,210,210,210,210,210,210,211
228,372,109,110,230,228,230,230,228,230,230,230,230,230,230,230,230,230,230,230,230,267
228,372,374,200,230,209,230,230,209,230,200,230,230,230,230,230,230,230,230,230,230,267
228,30,373,228,230,230,230,230,230,230,228,202,202,202,202,202,202,203,230,230,230,267
228,374,202,228,202,202,202,202,202,202,228,374,344,373,345,372,374,292,202,230,230,267
228,374,373,228,374,374,373,372,374,373,228,372,372,372,372,58,372,372,137,138,230,267
228,203,374,228,372,374,201,203,373,373,228,373,372,200,202,203,373,372,200,230,230,267
228,317,372,228,372,373,286,286,373,373,228,372,374,228,372,210,345,372,228,230,230,267
228,373,372,228,373,372,372,374,114,373,228,345,372,228,374,372,372,373,228,230,230,267
228,372,373,228,203,374,201,203,372,201,228,345,373,228,372,373,374,344,228,230,230,267
228,374,372,228,231,373,236,231,163,229,228,374,344,228,202,202,202,202,209,200,230,267
228,373,374,228,286,374,236,231,191,202,228,372,201,209,228,230,230,230,230,209,230,267
228,373,373,228,373,372,236,231,265,265,228,163,229,230,228,230,230,230,230,230,230,267
228,374,201,228,373,208,322,323,211,265,228,191,233,230,209,230,202,202,200,230,230,267
201,202,203,321,373,229,230,230,231,265,228,230,230,230,230,230,230,230,228,230,230,267
236,265,267,373,373,229,230,230,231,230,202,202,230,206,206,206,206,206,202,230,230,267
236,265,267,201,202,286,21,25,286,230,230,230,230,104,105,374,373,109,110,230,230,267
236,265,267,233,230,231,50,52,232,202,202,202,202,202,202,202,202,202,200,230,230,267
236,265,267,230,231,286,372,373,286,229,230,230,230,230,265,265,230,265,209,265,230,267
397,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,398

